pid,QID287_1,QID287_2,QID287_3,QID287_4,QID287_5,QID287_6,QID287_7,QID287_10,QID287_11,QID287_12,QID154,QID158,QID160_1,QID160_2,QID160_3,QID161,QID165,QID166_TEXT,QID169,QID170_TEXT,QID171,QID174,QID177,QID181_TEXT,QID184,QID191,QID192,QID195,QID203_1,QID203_2,QID203_3,QID203_4,QID203_5,QID203_6,QID288_1,QID288_2,QID288_3,QID288_4,QID289_1,QID289_2,QID289_3,QID289_4,QID291,QID196,QID290_1,QID290_2,QID290_3,QID290_4,QID290_5,QID290_6,QID290_7,QID290_10,QID290_11,QID290_12,QID9_1,QID9_2,QID9_3,QID9_4,QID9_5,QID9_6,QID9_7,QID9_8,QID9_9,QID9_10,QID9_11,QID9_12,QID9_13,QID9_14,QID9_15,QID9_16,QID9_17,QID9_18,QID9_19,QID9_20,QID9_21,QID9_22,QID9_23,QID9_24,QID9_25,QID9_26,QID9_27,QID9_28,QID9_29,QID9_30,QID9_31,QID9_32,QID9_33,QID9_34,QID9_35,QID9_36,QID9_37,QID9_38,QID9_39,QID9_40,QID162,QID163,QID164_TEXT,QID167,QID168_TEXT,QID182_TEXT,QID190,QID194,QID198_1,QID198_2,QID198_3,QID198_4,QID198_5,QID198_6,QID198_7,QID198_8,QID198_9,QID198_10,QID156,QID157,QID172,QID175,QID178,QID183,QID193,QID159_1,QID159_2,QID159_3,QID173,QID176,QID179,QID189
106,Somewhat support,Neither oppose nor support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Somewhat oppose,Strongly oppose,,I slightly favor program B,Moderately probable,Moderately probable,Moderately probable,,fewer,50,,,Disagree strongly,Disagree strongly,unlikely,20,Yes,,89% probability of one million dollars 10% probablity of five miillion dollars 1% probability of nothing,,red,red,green,red,red,green,very beneficial,not at all beneficial,neutral,moderately beneficial,low risk,moderately risky,moderately risky,moderately risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the small tray,53,50,65,65,73,73,76,79,57,45,"No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product",The decision and its opposite are equally good,,,more,300,,,probably yes,,,,,,,,,,,65,,,,,,,,,,,,,$100
107,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Neither oppose nor support,Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,Neither oppose nor support,30,I strongly favor program A,,,,,,,,,,,,,,,,,red,red,red,red,red,red,very beneficial,not at all beneficial,extremely beneficial,moderately beneficial,moderately risky,extremely risky,extremely risky,extremely risky,I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,8,7,9,30,41,1,50,16,95,37,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Clearly correct, an excellent decision",more,13,more,355,20,,definitely no,,,,,,,,,,,,,Disagree strongly,Disagree strongly,very unlikely,Yes,11% probability of one million dollars 89% probability of nothing,Moderately probable,Extremely probable,Extremely improbable,,,,"$5,000,000 or more"
108,Somewhat support,Somewhat support,Somewhat support,Strongly support,Strongly support,Somewhat support,Strongly support,Strongly support,Somewhat support,Strongly support,,,,,,"Correct, all things considered",,,less,250,,,,10,,$100,,,,,,,,,very beneficial,not at all beneficial,slightly beneficial,slightly beneficial,not at all risky,very risky,extremely risky,extremely risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,69,58,56,64,72,58,70,91,61,81,"Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",,more,13,,,,,probably yes,1,1,2,1,1,2,1,1,1,2,70,I favor program A,Disagree strongly,Agree strongly,very likely,Yes,10% probablity of five miillion dollars 90% probability of nothing,Very improbable,Moderately probable,Very improbable,,,,
109,Strongly support,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat support,Somewhat support,Strongly support,Somewhat oppose,Somewhat support,Somewhat support,,,Very improbable,Very probable,Moderately probable,,,,less,500,,,,,,$100,,,red,red,red,red,red,red,extremely beneficial,low benefit,moderately beneficial,slightly beneficial,moderately risky,very risky,low risk,very risky,I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,15,23,29,24,56,50,74,53,64,39,"No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Correct, but the opposite would be reasonable too",fewer,10,,,15,,yes,,,,,,,,,,,85,I favor program A,Agree strongly,Agree strongly,somewhat unlikely,Yes,10% probablity of five miillion dollars 90% probability of nothing,,,,,,,
110,Somewhat support,Somewhat support,Neither oppose nor support,Somewhat support,Neither oppose nor support,Somewhat support,Neither oppose nor support,Somewhat support,Neither oppose nor support,Somewhat support,30,I favor program B,Very improbable,Somewhat probable,Very improbable,"Correct, but the opposite would be reasonable too",,,less,379.7,,,,,No,,One million dollars for sure,no,,,,,,,very beneficial,slightly beneficial,neutral,neutral,slightly risky,very risky,moderately risky,moderately risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the large tray,21,22,50,39,42,30,44,75,27,67,"Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product",,more,54,,,15,"$1,000,000",,1,2,1,2,1,2,1,2,1,2,,,Neither agree nor disagree,Agree a little,somewhat unlikely,,,,,,,,,
111,Strongly support,Somewhat support,Neither oppose nor support,Strongly support,Somewhat support,Somewhat support,Neither oppose nor support,Somewhat support,Neither oppose nor support,Strongly support,,I slightly favor program B,,,,,fewer,10,less,500,,,,,Yes,,89% probability of one million dollars 10% probablity of five miillion dollars 1% probability of nothing,,,,,,,,very beneficial,extremely beneficial,moderately beneficial,very beneficial,very risky,extremely risky,very risky,moderately risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the small tray,36,47,39,24,39,29,24,34,43,32,"Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Incorrect, all things considered",,,,,5,$100,probably yes,1,2,2,1,1,2,2,1,1,2,30,,Agree a little,Agree a little,very likely,,,Moderately probable,Very probable,Moderately probable,,,,
112,Strongly support,Somewhat support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Neither oppose nor support,Somewhat support,0,I favor program B,Moderately probable,Very improbable,Somewhat probable,"Correct, but the opposite would be reasonable too",,,more,1200,,,,,,$10,,probably yes,red,red,green,red,green,red,very beneficial,not at all beneficial,not at all beneficial,slightly beneficial,not at all risky,extremely risky,extremely risky,moderately risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the large tray,100,20,100,100,100,65,50,100,51,100,"No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product",,more,18,,,5,,,,,,,,,,,,,,,Agree a little,Neither agree nor disagree,somewhat likely,Yes,10% probablity of five miillion dollars 90% probability of nothing,,,,,,,
113,Strongly oppose,Somewhat support,Somewhat oppose,Strongly support,Strongly support,Somewhat support,Somewhat support,Somewhat support,Somewhat support,Strongly oppose,30,I strongly favor program A,Very probable,Moderately probable,Moderately probable,"Correct, all things considered",more,1000,more,1400,,,,,,,,,red,red,red,red,red,red,very beneficial,slightly beneficial,very beneficial,slightly beneficial,moderately risky,very risky,very risky,very risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the small tray,40,32,37,80,82,30,62,82,55,30,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product",,,,,,10,,probably yes,,,,,,,,,,,,,,,,Yes,11% probability of one million dollars 89% probability of nothing,,,,Agree a little,Agree a little,very likely,"$10,000"
114,Somewhat support,Neither oppose nor support,Strongly support,Strongly support,Somewhat support,Strongly support,Strongly support,Strongly support,Neither oppose nor support,Somewhat oppose,30,I slightly favor program B,Moderately probable,Moderately probable,Moderately probable,"Correct, but the opposite would be reasonable too",,,,,Disagree strongly,Agree strongly,likely,,No,,,,green,green,green,green,red,red,extremely beneficial,neutral,slightly beneficial,low benefit,slightly risky,moderately risky,moderately risky,very risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the small tray,50,40,40,50,50,40,60,60,60,45,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product",,more,30,more,325,20,"$1,000,000",definitely yes,,,,,,,,,,,,,,,,,10% probablity of five miillion dollars 90% probability of nothing,,,,,,,
115,Somewhat support,Somewhat oppose,Somewhat support,Somewhat oppose,Somewhat support,Somewhat oppose,Somewhat support,Strongly support,Somewhat support,Somewhat oppose,,I favor program B,,,,,,,,,,,,,No,$100,,definitely yes,,,,,,,very beneficial,not at all beneficial,low benefit,slightly beneficial,low risk,very risky,moderately risky,moderately risky,I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,55,21,53,16,16,29,77,67,79,16,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Incorrect, all things considered",more,16,more,165,14,,,1,1,1,1,1,1,1,1,1,2,39,,Agree strongly,Agree strongly,very likely,,10% probablity of five miillion dollars 90% probability of nothing,Very probable,Very improbable,Very improbable,,,,
116,Somewhat support,Strongly support,Somewhat support,Strongly support,Strongly support,Strongly support,Somewhat support,Strongly support,Strongly support,Strongly support,,I favor program B,Somewhat probable,Extremely improbable,Extremely improbable,,more,70,,,,,,2,,,,,red,red,red,red,red,red,extremely beneficial,low benefit,low benefit,not at all beneficial,moderately risky,very risky,very risky,extremely risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the large tray,10,100,100,100,55,57,100,100,100,100,"Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product",The decision and its opposite are equally good,,,more,90,,$10,yes,,,,,,,,,,,60,,,,,Yes,10% probablity of five miillion dollars 90% probability of nothing,,,,Agree strongly,Agree strongly,somewhat likely,
117,Strongly support,Somewhat support,Somewhat support,Strongly support,Somewhat support,Neither oppose nor support,Neither oppose nor support,Strongly support,Somewhat oppose,Somewhat oppose,70,I favor program A,,,,"Correct, but the opposite would be reasonable too",,,,,,,,,,,One million dollars for sure,,,,,,,,very beneficial,neutral,moderately beneficial,moderately beneficial,not at all risky,low risk,moderately risky,moderately risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,74,70,73,58,71,67,68,69,0,30,"No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product",,fewer,8,more,100,5,,probably yes,1,1,1,1,1,1,1,1,1,1,,,,,,No,,Moderately probable,Somewhat probable,Somewhat probable,Disagree a little,Disagree a little,unlikely,$10
118,Somewhat support,Neither oppose nor support,Somewhat support,Neither oppose nor support,Somewhat support,Somewhat support,Neither oppose nor support,Somewhat support,Somewhat oppose,Somewhat support,,I favor program A,Somewhat probable,Moderately probable,Moderately probable,,fewer,58,,,,,,,Yes,"$1,000",One million dollars for sure,,red,red,green,red,green,red,extremely beneficial,not at all beneficial,very beneficial,very beneficial,not at all risky,moderately risky,slightly risky,slightly risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the small tray,20,20,15,11,22,25,28,34,47,20,"Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Incorrect, but not unreasonable",,,more,160,14,,yes,,,,,,,,,,,77,,Agree a little,Agree strongly,unlikely,,,,,,,,,
119,Somewhat support,Somewhat support,Strongly support,Neither oppose nor support,Strongly support,Somewhat support,Neither oppose nor support,Somewhat support,Neither oppose nor support,Strongly support,50,,,,,"Correct, all things considered",,,,,,,,15,No,,One million dollars for sure,,green,green,green,green,green,green,extremely beneficial,low benefit,moderately beneficial,moderately beneficial,low risk,moderately risky,very risky,very risky,I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the large tray,61,50,70,40,95,55,35,75,60,75,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product",,more,54,more,380,,,probably yes,,,,,,,,,,,,I strongly favor program A,Disagree strongly,Disagree strongly,very likely,,,Somewhat probable,Very probable,Very improbable,,,,"$10,000"
120,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat support,Strongly oppose,Strongly oppose,Somewhat oppose,Strongly support,Somewhat oppose,,,,,,"Correct, but the opposite would be reasonable too",fewer,30,less,500,Disagree strongly,Disagree strongly,unlikely,15,,,,no,,,,,,,moderately beneficial,neutral,very beneficial,very beneficial,slightly risky,moderately risky,moderately risky,moderately risky,I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the large tray,11,3,1,9,22,7,30,39,83,51,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product",,,,,,,,,1,1,1,1,1,1,1,1,1,1,85,I favor program B,,,,Yes,10% probablity of five miillion dollars 90% probability of nothing,Very probable,Somewhat probable,Somewhat probable,,,,$100
121,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly oppose,Neither oppose nor support,Somewhat oppose,Strongly support,Neither oppose nor support,Strongly support,Neither oppose nor support,30,,Somewhat probable,Very improbable,Moderately probable,"Correct, but the opposite would be reasonable too",,,less,400,,,,,,,89% probability of one million dollars 10% probablity of five miillion dollars 1% probability of nothing,,red,red,red,red,red,red,extremely beneficial,neutral,neutral,moderately beneficial,slightly risky,moderately risky,neutral,moderately risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,23,16,25,36,45,9,87,6,88,34,"Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product",,more,54,,,0,,no,,,,,,,,,,,,I slightly favor program A,,,,No,,,,,Agree a little,Neither agree nor disagree,somewhat likely,"$1,000"
