pid,QID287_1,QID287_2,QID287_3,QID287_4,QID287_5,QID287_6,QID287_7,QID287_10,QID287_11,QID287_12,QID154,QID158,QID160_1,QID160_2,QID160_3,QID161,QID165,QID166_TEXT,QID169,QID170_TEXT,QID171,QID174,QID177,QID181_TEXT,QID184,QID191,QID192,QID195,QID203_1,QID203_2,QID203_3,QID203_4,QID203_5,QID203_6,QID288_1,QID288_2,QID288_3,QID288_4,QID289_1,QID289_2,QID289_3,QID289_4,QID291,QID196,QID290_1,QID290_2,QID290_3,QID290_4,QID290_5,QID290_6,QID290_7,QID290_10,QID290_11,QID290_12,QID9_1,QID9_2,QID9_3,QID9_4,QID9_5,QID9_6,QID9_7,QID9_8,QID9_9,QID9_10,QID9_11,QID9_12,QID9_13,QID9_14,QID9_15,QID9_16,QID9_17,QID9_18,QID9_19,QID9_20,QID9_21,QID9_22,QID9_23,QID9_24,QID9_25,QID9_26,QID9_27,QID9_28,QID9_29,QID9_30,QID9_31,QID9_32,QID9_33,QID9_34,QID9_35,QID9_36,QID9_37,QID9_38,QID9_39,QID9_40,QID162,QID163,QID164_TEXT,QID167,QID168_TEXT,QID182_TEXT,QID190,QID194,QID198_1,QID198_2,QID198_3,QID198_4,QID198_5,QID198_6,QID198_7,QID198_8,QID198_9,QID198_10,QID156,QID157,QID172,QID175,QID178,QID183,QID193,QID159_1,QID159_2,QID159_3,QID173,QID176,QID179,QID189
11,4,3,4,5,4,1,5,3,5,5,,1.0,5.0,5.0,6.0,7.0,2.0,35,,,1.0,5.0,4.0,8,1.0,,,,1.0,1.0,1.0,2.0,1.0,2.0,5,2,1,1,1,7,7,7,2,2,34.0,5.0,47.0,41.0,46.0,22.0,100.0,50.0,97.0,94.0,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,,,,1.0,140,,10.0,6.0,,,,,,,,,,,95.0,,,,,,1.0,,,,,,,
12,4,4,4,5,5,4,4,5,5,5,70.0,,,,,5.0,,,1.0,1100,2.0,5.0,6.0,5,2.0,1.0,1.0,,,,,,,,7,1,6,5,2,5,5,6,3,2,61.0,56.0,71.0,79.0,79.0,34.0,77.0,78.0,84.0,67.0,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,,1.0,16,,,,,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,5.0,,,,,,4.0,2.0,2.0,,,,
13,5,5,5,5,5,5,5,5,1,3,,,,,,6.0,,,,,,,,15,,,,,,,,,,,7,1,3,5,1,7,7,5,3,1,30.0,20.0,40.0,50.0,60.0,70.0,100.0,30.0,60.0,30.0,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,2,,1.0,45,1.0,250,,,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,50.0,3.0,1.0,5.0,6.0,1.0,1.0,3.0,3.0,3.0,,,,5.0
14,5,5,5,5,5,4,5,5,2,3,,3.0,,,,6.0,2.0,43,,,1.0,5.0,4.0,16,2.0,,1.0,6.0,,,,,,,6,1,4,6,2,6,5,1,3,1,78.0,71.0,78.0,82.0,82.0,73.0,80.0,80.0,20.0,71.0,1,2,2,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,,,,1.0,120,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,,,,,,,3.0,3.0,3.0,,,,3.0
15,5,3,5,4,4,4,5,5,5,5,,4.0,4.0,4.0,3.0,,2.0,47,2.0,385,,,,,1.0,,,3.0,,,,,,,7,2,1,2,3,5,7,6,2,2,20.0,10.0,15.0,10.0,20.0,7.0,50.0,65.0,40.0,75.0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2.0,,,,,5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,75.0,,,,,,2.0,,,,4.0,5.0,6.0,3.0
16,1,1,2,5,4,4,5,5,4,4,,2.0,2.0,2.0,5.0,2.0,,,2.0,500,,,,10,,1.0,2.0,5.0,,,,,,,7,1,7,1,2,7,5,4,1,1,26.0,15.0,54.0,79.0,73.0,72.0,69.0,69.0,58.0,69.0,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,,1.0,20,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,,,,,1.0,,,,,3.0,5.0,6.0,
17,3,5,5,5,1,2,1,5,4,1,30.0,,,,,2.0,,,,,1.0,4.0,5.0,20,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,7,1,1,1,1,7,7,7,1,1,25.0,59.0,70.0,66.0,7.0,53.0,29.0,89.0,54.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1.0,97,1.0,245,,,6.0,,,,,,,,,,,,1.0,,,,2.0,,3.0,3.0,2.0,,,,1.0
18,5,4,5,5,5,5,4,5,1,2,70.0,,4.0,3.0,3.0,,1.0,79,2.0,375,,,,,2.0,,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6,1,2,2,2,6,7,7,3,1,53.0,46.0,49.0,67.0,72.0,56.0,57.0,84.0,48.0,50.0,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,6.0,,,,,11,,,,,,,,,,,,,,3.0,1.0,5.0,5.0,,,,,,,,,2.0
19,5,5,5,5,5,5,5,5,3,3,81.0,,,,,6.0,1.0,70,1.0,1500,,,,5,,3.0,,5.0,,,,,,,6,4,1,3,5,6,7,6,4,1,40.0,81.0,47.0,34.0,47.0,37.0,56.0,50.0,19.0,47.0,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,,,,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,3.0,3.0,4.0,5.0,1.0,1.0,3.0,4.0,2.0,,,,
20,4,2,4,2,4,4,4,2,4,3,75.0,5.0,,,,5.0,2.0,15,1.0,2500,,,,15,,,,5.0,1.0,1.0,1.0,1.0,1.0,1.0,6,3,6,5,2,5,6,6,3,1,40.0,30.0,50.0,40.0,50.0,55.0,65.0,40.0,55.0,70.0,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,4.0,2.0,1.0,4.0,5.0,4.0
21,4,4,4,5,5,4,5,5,3,5,,,2.0,5.0,4.0,,,,,,,,,,,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,6,1,5,5,2,6,6,6,3,2,28.0,18.0,23.0,88.0,85.0,38.0,54.0,78.0,62.0,53.0,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,6.0,1.0,30,1.0,200,5,8.0,,,,,,,,,,,,90.0,2.0,,,,1.0,,,,,5.0,2.0,1.0,
22,4,5,3,5,2,5,5,5,1,4,50.0,,3.0,3.0,3.0,,,,,,,,,10,1.0,,1.0,,,,,,,,5,1,3,3,3,5,5,3,1,1,30.0,20.0,25.0,25.0,35.0,25.0,40.0,75.0,60.0,50.0,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,5.0,1.0,15,1.0,105,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,,,,,,,,,4.0,4.0,4.0,4.0
23,5,5,5,5,5,5,5,5,3,5,,6.0,,,,,,,1.0,1200,,,,20,,,,,1.0,1.0,1.0,1.0,1.0,1.0,5,2,5,5,1,7,7,5,4,2,61.0,25.0,19.0,22.0,55.0,27.0,50.0,52.0,68.0,56.0,2,2,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,7.0,2.0,10,,,,,1.0,,,,,,,,,,,70.0,,1.0,1.0,6.0,1.0,1.0,4.0,4.0,4.0,,,,2.0
24,2,4,4,3,3,1,4,4,5,4,,,4.0,4.0,5.0,,1.0,70,1.0,1250,,,,15,,3.0,1.0,,1.0,1.0,2.0,1.0,2.0,2.0,4,4,5,1,2,5,6,7,1,1,6.0,64.0,50.0,55.0,58.0,0.0,64.0,4.0,100.0,66.0,2,2,1,1,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,2,1,2,1,1,2,3.0,,,,,,,1.0,,,,,,,,,,,15.0,3.0,4.0,4.0,3.0,2.0,,,,,,,,
25,5,5,5,5,5,5,3,5,3,3,,3.0,,,,,,,2.0,900,,,,5,1.0,,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,7,4,4,4,4,4,7,7,2,1,52.0,53.0,52.0,32.0,34.0,34.0,33.0,81.0,54.0,49.0,2,2,1,1,2,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,6.0,2.0,10,,,,,3.0,,,,,,,,,,,50.0,,3.0,3.0,4.0,,,4.0,4.0,4.0,,,,1.0
26,4,4,4,5,5,5,5,5,3,2,69.0,,3.0,3.0,3.0,,,,2.0,175,,,,,2.0,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,6,1,4,4,1,7,7,7,4,2,41.0,27.0,31.0,26.0,37.0,28.0,34.0,28.0,77.0,30.0,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,7.0,1.0,22,,,0,,4.0,,,,,,,,,,,,2.0,,,,,2.0,,,,1.0,2.0,1.0,
27,3,4,3,5,4,4,4,4,3,4,81.0,4.0,3.0,3.0,3.0,6.0,,,2.0,600,,,,18,2.0,,2.0,4.0,,,,,,,7,1,5,5,2,6,4,4,3,1,18.0,15.0,10.0,25.0,49.0,13.0,50.0,75.0,54.0,54.0,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,,2.0,8,,,,10.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,5.0,6.0,,,,,,,,,
28,3,4,4,5,5,4,4,5,3,5,85.0,4.0,,,,,2.0,5,,,3.0,4.0,5.0,,,,,5.0,,,,,,,6,4,3,3,5,5,5,5,4,1,20.0,20.0,26.0,75.0,75.0,31.0,55.0,81.0,62.0,44.0,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,6.0,,,1.0,130,10,8.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,2.0,5.0,5.0,4.0,,,,
29,2,5,5,5,5,5,5,5,4,5,,,,,,,2.0,54,,,,,,15,,,,,,,,,,,6,2,6,6,1,5,7,7,3,1,30.0,80.0,40.0,30.0,70.0,40.0,75.0,96.0,90.0,90.0,2,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,2,6.0,,,1.0,379,,,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,70.0,2.0,,,,1.0,2.0,5.0,4.0,4.0,1.0,5.0,6.0,10.0
30,1,3,3,5,5,5,5,5,5,3,30.0,,,,,,,,2.0,392,,,,10,2.0,,,5.0,1.0,1.0,2.0,1.0,2.0,2.0,7,2,4,5,4,7,4,5,3,2,18.0,75.0,32.0,95.0,90.0,88.0,95.0,100.0,77.0,77.0,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,6.0,2.0,9,,,,,,,,,,,,,,,,,4.0,,,,,2.0,2.0,4.0,3.0,3.0,5.0,4.0,2.0
31,5,5,5,5,4,5,5,5,2,4,,,,,,,2.0,60,,,,,,,,,2.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,6,2,5,5,2,5,6,6,2,2,30.0,64.0,55.0,69.0,77.0,71.0,62.0,36.0,48.0,69.0,1,2,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,6.0,,,1.0,80,5,,,,,,,,,,,,,70.0,6.0,,,,2.0,,5.0,6.0,3.0,4.0,5.0,5.0,3.0
32,5,5,5,5,5,5,5,5,1,1,50.0,4.0,3.0,3.0,3.0,6.0,2.0,35,,,1.0,5.0,6.0,,,,1.0,6.0,,,,,,,7,1,1,1,1,7,7,7,1,1,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,,,,1.0,95,0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0
33,4,4,4,4,4,5,5,5,2,3,,,,,,,1.0,110,2.0,300,,,,,,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,7,2,2,2,3,5,6,6,2,2,38.0,17.0,15.0,18.0,22.0,3.0,55.0,17.0,31.0,5.0,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,6.0,,,,,10,,3.0,,,,,,,,,,,71.0,2.0,2.0,3.0,1.0,2.0,,4.0,4.0,2.0,,,,
34,4,4,3,4,4,1,4,4,5,4,20.0,,3.0,4.0,2.0,,,,2.0,200,1.0,4.0,4.0,15,,,1.0,,,,,,,,6,3,5,5,2,5,7,5,3,1,71.0,59.0,67.0,53.0,71.0,61.0,72.0,60.0,75.0,48.0,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,6.0,1.0,35,,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,,,,2.0,,,,,,,,4.0
35,1,1,1,1,3,1,4,3,5,3,30.0,,2.0,4.0,4.0,6.0,2.0,20,,,,,,,,,1.0,,,,,,,,5,3,3,3,3,5,5,5,3,2,35.0,15.0,20.0,45.0,60.0,15.0,75.0,50.0,50.0,50.0,2,1,2,2,1,1,2,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,1.0,120,10,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,5.0,6.0,1.0,,,,,,,,
36,5,5,5,5,5,5,5,5,1,5,,3.0,3.0,3.0,2.0,7.0,2.0,45,1.0,1200,1.0,5.0,6.0,,,,1.0,,,,,,,,6,1,5,3,2,6,7,7,4,2,87.0,45.0,100.0,85.0,100.0,79.0,95.0,95.0,4.0,70.0,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,,,,,,5,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,75.0,,,,,2.0,,,,,,,,
37,5,5,5,5,4,5,5,5,1,2,30.0,3.0,,,,6.0,,,,,2.0,5.0,6.0,20,2.0,,2.0,6.0,,,,,,,7,2,4,4,3,6,6,6,3,1,80.0,60.0,60.0,70.0,70.0,55.0,75.0,75.0,40.0,50.0,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,,1.0,30,1.0,250,,10.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,4.0,4.0,2.0,,,,
38,2,2,2,2,2,2,2,2,2,2,58.0,6.0,2.0,2.0,2.0,,2.0,0,2.0,380,,,,,2.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,6,1,5,6,3,6,5,5,2,1,20.0,21.0,23.0,20.0,19.0,20.0,22.0,5.0,83.0,12.0,1,2,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,2,1,6.0,,,,,15,,,,,,,,,,,,,,,2.0,3.0,4.0,,,,,,,,,1.0
39,1,1,1,1,4,4,2,1,5,4,46.0,,,,,,2.0,40,,,,,,8,,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,7,4,5,5,5,5,6,6,2,2,47.0,42.0,40.0,51.0,61.0,59.0,61.0,52.0,61.0,93.0,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,1,2,2,6.0,,,1.0,100,,,3.0,,,,,,,,,,,,2.0,,,,1.0,,4.0,4.0,2.0,1.0,2.0,3.0,
40,4,4,3,3,3,4,3,5,5,4,95.0,5.0,,,,,2.0,1,2.0,330,,,,15,2.0,,,5.0,2.0,1.0,1.0,1.0,2.0,1.0,6,2,3,3,5,6,7,6,3,1,40.0,40.0,20.0,55.0,75.0,25.0,40.0,93.0,90.0,25.0,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,1,1,6.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,4.0,4.0,4.0,5.0,6.0,2.0
41,3,3,2,3,4,3,5,5,4,4,,,,,,5.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,6,2,4,3,3,5,5,5,3,1,44.0,53.0,54.0,67.0,61.0,56.0,86.0,87.0,50.0,73.0,1,2,1,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,,1.0,50,1.0,350,10,,4.0,,,,,,,,,,,90.0,3.0,,,,,2.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0
42,2,4,4,5,4,5,5,3,3,4,80.0,,,,,,,,,,1.0,5.0,4.0,2,,,,,1.0,1.0,1.0,1.0,1.0,1.0,6,4,6,6,2,3,6,5,2,1,20.0,35.0,35.0,40.0,50.0,45.0,45.0,30.0,45.0,20.0,1,1,2,2,2,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,5.0,1.0,35,1.0,130,,,4.0,,,,,,,,,,,,3.0,,,,1.0,2.0,3.0,5.0,2.0,,,,4.0
43,3,3,4,4,4,3,4,4,3,4,58.0,,,,,4.0,,,2.0,500,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5,1,1,1,3,7,7,6,2,2,47.0,64.0,57.0,83.0,41.0,62.0,40.0,73.0,46.0,81.0,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,,1.0,20,,,12,,,,,,,,,,,,,,4.0,,,,,1.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0
